Label (Grouping);Total:;    White alone;    Black or African American alone;    American Indian and Alaska Native alone;    Asian alone;    Native Hawaiian and Other Pacific Islander alone;    Some Other Race alone;    Two or More Races:;        Two races including Some Other Race;        Two races excluding Some Other Race, and three or more races
"Block Group 2; Census Tract 1193.40; Los Angeles County; California!!Estimate";2.036;257;56;0;115;0;1.581;27;27;0
"Block Group 2; Census Tract 1193.40; Los Angeles County; California!!Margin of Error";±343;±119;±51;±13;±102;±13;±380;±32;±32;±13
"Block Group 1; Census Tract 1193.41; Los Angeles County; California!!Estimate";2.750;418;95;55;567;8;1.362;245;242;3
"Block Group 1; Census Tract 1193.41; Los Angeles County; California!!Margin of Error";±368;±166;±92;±65;±152;±22;±362;±172;±171;±6
"Block Group 1; Census Tract 1193.42; Los Angeles County; California!!Estimate";1.687;342;7;39;379;0;781;139;100;39
"Block Group 1; Census Tract 1193.42; Los Angeles County; California!!Margin of Error";±351;±204;±9;±46;±209;±13;±294;±109;±104;±37
"Block Group 2; Census Tract 1193.42; Los Angeles County; California!!Estimate";1.163;143;14;17;24;0;817;148;141;7
"Block Group 2; Census Tract 1193.42; Los Angeles County; California!!Margin of Error";±268;±89;±23;±21;±26;±13;±287;±99;±102;±10
"Block Group 1; Census Tract 1194; Los Angeles County; California!!Estimate";1.584;648;0;0;37;0;743;156;143;13
"Block Group 1; Census Tract 1194; Los Angeles County; California!!Margin of Error";±699;±401;±13;±13;±43;±13;±648;±165;±162;±20
"Block Group 2; Census Tract 1194; Los Angeles County; California!!Estimate";1.501;850;0;0;80;0;246;325;325;0
"Block Group 2; Census Tract 1194; Los Angeles County; California!!Margin of Error";±638;±506;±13;±13;±119;±13;±289;±319;±319;±13
"Block Group 3; Census Tract 1194; Los Angeles County; California!!Estimate";1.976;610;53;0;273;0;920;120;109;11
"Block Group 3; Census Tract 1194; Los Angeles County; California!!Margin of Error";±765;±300;±65;±13;±191;±13;±586;±129;±129;±15
"Block Group 1; Census Tract 1197; Los Angeles County; California!!Estimate";1.708;949;18;28;151;0;426;136;51;85
"Block Group 1; Census Tract 1197; Los Angeles County; California!!Margin of Error";±692;±657;±30;±58;±108;±13;±277;±128;±69;±110
"Block Group 2; Census Tract 1197; Los Angeles County; California!!Estimate";1.295;241;0;0;785;0;225;44;13;31
"Block Group 2; Census Tract 1197; Los Angeles County; California!!Margin of Error";±467;±185;±13;±13;±357;±13;±185;±62;±22;±58
"Block Group 3; Census Tract 1197; Los Angeles County; California!!Estimate";1.266;522;0;0;124;0;447;173;132;41
"Block Group 3; Census Tract 1197; Los Angeles County; California!!Margin of Error";±553;±376;±13;±13;±92;±13;±396;±138;±120;±68
"Block Group 1; Census Tract 1198.01; Los Angeles County; California!!Estimate";1.000;104;12;0;125;0;359;400;347;53
"Block Group 1; Census Tract 1198.01; Los Angeles County; California!!Margin of Error";±324;±78;±20;±13;±109;±13;±311;±274;±269;±55
"Block Group 2; Census Tract 1198.01; Los Angeles County; California!!Estimate";1.556;738;1;0;82;0;672;63;63;0
"Block Group 2; Census Tract 1198.01; Los Angeles County; California!!Margin of Error";±350;±305;±2;±13;±82;±13;±422;±77;±77;±13
"Block Group 1; Census Tract 1198.02; Los Angeles County; California!!Estimate";1.720;431;11;45;137;0;737;359;326;33
"Block Group 1; Census Tract 1198.02; Los Angeles County; California!!Margin of Error";±673;±272;±19;±38;±102;±13;±638;±175;±168;±31
"Block Group 2; Census Tract 1198.02; Los Angeles County; California!!Estimate";1.518;435;5;0;379;25;337;337;337;0
"Block Group 2; Census Tract 1198.02; Los Angeles County; California!!Margin of Error";±576;±337;±12;±13;±374;±35;±295;±196;±196;±13
"Block Group 1; Census Tract 1199; Los Angeles County; California!!Estimate";1.148;414;0;0;337;0;296;101;101;0
"Block Group 1; Census Tract 1199; Los Angeles County; California!!Margin of Error";±492;±386;±13;±13;±198;±13;±214;±158;±158;±13
"Block Group 2; Census Tract 1199; Los Angeles County; California!!Estimate";2.185;492;27;12;123;0;1.441;90;77;13
"Block Group 2; Census Tract 1199; Los Angeles County; California!!Margin of Error";±724;±188;±41;±20;±107;±13;±753;±93;±88;±21
"Block Group 3; Census Tract 1199; Los Angeles County; California!!Estimate";1.188;206;5;7;251;0;458;261;230;31
"Block Group 3; Census Tract 1199; Los Angeles County; California!!Margin of Error";±319;±146;±6;±11;±179;±13;±201;±163;±158;±46
"Block Group 1; Census Tract 1200.10; Los Angeles County; California!!Estimate";1.662;164;35;0;240;0;1.162;61;61;0
"Block Group 1; Census Tract 1200.10; Los Angeles County; California!!Margin of Error";±402;±114;±40;±13;±140;±13;±396;±76;±76;±13
