Label (Grouping);Total:;    White alone;    Black or African American alone;    American Indian and Alaska Native alone;    Asian alone;    Native Hawaiian and Other Pacific Islander alone;    Some Other Race alone;    Two or More Races:;        Two races including Some Other Race;        Two races excluding Some Other Race, and three or more races
"Block Group 2; Census Tract 1113.04; Los Angeles County; California!!Margin of Error";±621;±252;±199;±13;±123;±13;±302;±483;±477;±83
"Block Group 1; Census Tract 1114.01; Los Angeles County; California!!Estimate";2.293;1.313;49;71;393;0;257;210;203;7
"Block Group 1; Census Tract 1114.01; Los Angeles County; California!!Margin of Error";±388;±440;±62;±84;±120;±13;±214;±116;±115;±13
"Block Group 1; Census Tract 1114.02; Los Angeles County; California!!Estimate";2.221;1.726;0;8;114;0;319;54;54;0
"Block Group 1; Census Tract 1114.02; Los Angeles County; California!!Margin of Error";±912;±877;±13;±13;±108;±13;±304;±50;±50;±13
"Block Group 2; Census Tract 1114.02; Los Angeles County; California!!Estimate";1.828;953;5;0;165;0;632;73;29;44
"Block Group 2; Census Tract 1114.02; Los Angeles County; California!!Margin of Error";±469;±296;±10;±13;±102;±13;±415;±54;±26;±43
"Block Group 3; Census Tract 1114.02; Los Angeles County; California!!Estimate";2.097;800;11;15;656;0;94;521;475;46
"Block Group 3; Census Tract 1114.02; Los Angeles County; California!!Margin of Error";±768;±455;±9;±24;±575;±13;±74;±408;±404;±52
"Block Group 1; Census Tract 1131.01; Los Angeles County; California!!Estimate";1.553;1.168;81;0;159;0;107;38;38;0
"Block Group 1; Census Tract 1131.01; Los Angeles County; California!!Margin of Error";±387;±389;±94;±13;±108;±13;±75;±36;±36;±13
"Block Group 2; Census Tract 1131.01; Los Angeles County; California!!Estimate";1.972;1.150;91;0;394;0;126;211;98;113
"Block Group 2; Census Tract 1131.01; Los Angeles County; California!!Margin of Error";±339;±385;±90;±13;±162;±13;±94;±133;±93;±91
"Block Group 1; Census Tract 1131.02; Los Angeles County; California!!Estimate";1.648;953;9;0;333;0;0;353;80;273
"Block Group 1; Census Tract 1131.02; Los Angeles County; California!!Margin of Error";±286;±219;±13;±13;±194;±13;±13;±236;±77;±213
"Block Group 2; Census Tract 1131.02; Los Angeles County; California!!Estimate";1.136;714;22;0;89;0;96;215;215;0
"Block Group 2; Census Tract 1131.02; Los Angeles County; California!!Margin of Error";±241;±222;±19;±13;±109;±13;±93;±134;±134;±13
"Block Group 1; Census Tract 1132.11; Los Angeles County; California!!Estimate";1.945;1.101;181;0;397;0;194;72;71;1
"Block Group 1; Census Tract 1132.11; Los Angeles County; California!!Margin of Error";±375;±280;±196;±13;±146;±13;±183;±90;±90;±2
"Block Group 2; Census Tract 1132.11; Los Angeles County; California!!Estimate";2.303;1.325;311;8;265;0;182;212;28;184
"Block Group 2; Census Tract 1132.11; Los Angeles County; California!!Margin of Error";±636;±376;±386;±13;±121;±13;±151;±147;±36;±143
"Block Group 1; Census Tract 1132.12; Los Angeles County; California!!Estimate";769;290;32;0;126;0;210;111;97;14
"Block Group 1; Census Tract 1132.12; Los Angeles County; California!!Margin of Error";±210;±101;±46;±13;±80;±13;±139;±98;±95;±18
"Block Group 2; Census Tract 1132.12; Los Angeles County; California!!Estimate";2.119;728;87;71;702;0;294;237;25;212
"Block Group 2; Census Tract 1132.12; Los Angeles County; California!!Margin of Error";±446;±200;±81;±64;±199;±13;±224;±274;±37;±275
"Block Group 1; Census Tract 1132.13; Los Angeles County; California!!Estimate";3.586;1.748;102;7;615;0;409;705;228;477
"Block Group 1; Census Tract 1132.13; Los Angeles County; California!!Margin of Error";±702;±379;±94;±11;±217;±13;±254;±376;±149;±350
"Block Group 2; Census Tract 1132.13; Los Angeles County; California!!Estimate";1.501;454;60;5;442;0;340;200;118;82
"Block Group 2; Census Tract 1132.13; Los Angeles County; California!!Margin of Error";±346;±176;±49;±8;±175;±13;±222;±98;±67;±63
"Block Group 1; Census Tract 1132.31; Los Angeles County; California!!Estimate";826;560;5;0;42;0;0;219;145;74
"Block Group 1; Census Tract 1132.31; Los Angeles County; California!!Margin of Error";±242;±202;±8;±13;±32;±13;±13;±142;±133;±55
"Block Group 2; Census Tract 1132.31; Los Angeles County; California!!Estimate";1.335;902;80;0;135;0;59;159;42;117
"Block Group 2; Census Tract 1132.31; Los Angeles County; California!!Margin of Error";±226;±191;±99;±13;±80;±13;±58;±74;±38;±72
"Block Group 1; Census Tract 1132.32; Los Angeles County; California!!Estimate";2.837;1.860;30;0;480;0;126;341;105;236
"Block Group 1; Census Tract 1132.32; Los Angeles County; California!!Margin of Error";±629;±509;±30;±13;±247;±13;±89;±242;±92;±210
"Block Group 2; Census Tract 1132.32; Los Angeles County; California!!Estimate";1.759;934;169;0;150;0;303;203;82;121
"Block Group 2; Census Tract 1132.32; Los Angeles County; California!!Margin of Error";±334;±265;±143;±13;±113;±13;±187;±159;±92;±125
"Block Group 1; Census Tract 1132.34; Los Angeles County; California!!Estimate";1.284;608;145;0;98;0;204;229;229;0
"Block Group 1; Census Tract 1132.34; Los Angeles County; California!!Margin of Error";±364;±206;±237;±13;±85;±13;±188;±212;±212;±13
"Block Group 2; Census Tract 1132.34; Los Angeles County; California!!Estimate";1.043;334;50;0;285;0;334;40;0;40
"Block Group 2; Census Tract 1132.34; Los Angeles County; California!!Margin of Error";±347;±167;±76;±13;±155;±13;±260;±32;±13;±32
"Block Group 3; Census Tract 1132.34; Los Angeles County; California!!Estimate";2.474;487;50;256;311;0;964;406;406;0
"Block Group 3; Census Tract 1132.34; Los Angeles County; California!!Margin of Error";±1,246;±315;±69;±398;±236;±13;±1,134;±308;±308;±13
"Block Group 4; Census Tract 1132.34; Los Angeles County; California!!Estimate";852;420;43;0;156;0;211;22;22;0
"Block Group 4; Census Tract 1132.34; Los Angeles County; California!!Margin of Error";±325;±208;±68;±13;±122;±13;±261;±34;±34;±13
"Block Group 1; Census Tract 1132.35; Los Angeles County; California!!Estimate";1.727;917;82;9;51;0;367;301;124;177
"Block Group 1; Census Tract 1132.35; Los Angeles County; California!!Margin of Error";±351;±177;±66;±14;±32;±13;±338;±118;±97;±85
"Block Group 1; Census Tract 1132.37; Los Angeles County; California!!Estimate";3.009;1.471;291;25;467;0;257;498;152;346
"Block Group 1; Census Tract 1132.37; Los Angeles County; California!!Margin of Error";±863;±577;±254;±30;±193;±13;±218;±309;±116;±284
"Block Group 2; Census Tract 1132.37; Los Angeles County; California!!Estimate";1.716;675;128;0;710;0;26;177;136;41
"Block Group 2; Census Tract 1132.37; Los Angeles County; California!!Margin of Error";±788;±289;±135;±13;±763;±13;±39;±129;±116;±53
"Block Group 1; Census Tract 1132.38; Los Angeles County; California!!Estimate";1.024;428;67;0;303;0;175;51;30;21
"Block Group 1; Census Tract 1132.38; Los Angeles County; California!!Margin of Error";±404;±313;±82;±13;±209;±13;±152;±54;±38;±36
"Block Group 2; Census Tract 1132.38; Los Angeles County; California!!Estimate";2.702;745;97;0;368;0;1.148;344;45;299
"Block Group 2; Census Tract 1132.38; Los Angeles County; California!!Margin of Error";±766;±620;±103;±13;±186;±13;±678;±274;±67;±233
"Block Group 3; Census Tract 1132.38; Los Angeles County; California!!Estimate";821;624;0;0;157;0;29;11;11;0
"Block Group 3; Census Tract 1132.38; Los Angeles County; California!!Margin of Error";±330;±323;±13;±13;±110;±13;±87;±18;±18;±13
"Block Group 1; Census Tract 1132.39; Los Angeles County; California!!Estimate";893;434;23;25;165;10;204;32;32;0
"Block Group 1; Census Tract 1132.39; Los Angeles County; California!!Margin of Error";±239;±113;±33;±31;±112;±17;±260;±49;±49;±13
"Block Group 2; Census Tract 1132.39; Los Angeles County; California!!Estimate";1.450;309;280;0;120;0;678;63;55;8
"Block Group 2; Census Tract 1132.39; Los Angeles County; California!!Margin of Error";±354;±140;±309;±13;±81;±13;±307;±71;±68;±16
"Block Group 1; Census Tract 1133.01; Los Angeles County; California!!Estimate";769;592;18;0;102;0;57;0;0;0
"Block Group 1; Census Tract 1133.01; Los Angeles County; California!!Margin of Error";±291;±306;±27;±13;±133;±13;±74;±13;±13;±13
"Block Group 2; Census Tract 1133.01; Los Angeles County; California!!Estimate";4.061;2.266;282;8;966;40;140;359;289;70
"Block Group 2; Census Tract 1133.01; Los Angeles County; California!!Margin of Error";±724;±684;±377;±14;±327;±57;±96;±298;±279;±74
"Block Group 1; Census Tract 1133.03; Los Angeles County; California!!Estimate";2.583;1.556;0;25;456;0;262;284;216;68
"Block Group 1; Census Tract 1133.03; Los Angeles County; California!!Margin of Error";±340;±367;±13;±27;±138;±13;±188;±172;±168;±47
"Block Group 2; Census Tract 1133.03; Los Angeles County; California!!Estimate";1.191;559;81;36;241;0;144;130;79;51
"Block Group 2; Census Tract 1133.03; Los Angeles County; California!!Margin of Error";±277;±198;±125;±65;±158;±13;±114;±140;±99;±101
"Block Group 1; Census Tract 1133.22; Los Angeles County; California!!Estimate";1.852;1.271;79;12;290;0;41;159;86;73
"Block Group 1; Census Tract 1133.22; Los Angeles County; California!!Margin of Error";±477;±419;±76;±19;±263;±13;±30;±122;±70;±75
"Block Group 2; Census Tract 1133.22; Los Angeles County; California!!Estimate";2.732;1.293;535;31;234;0;308;331;209;122
"Block Group 2; Census Tract 1133.22; Los Angeles County; California!!Margin of Error";±776;±436;±704;±46;±152;±13;±253;±201;±166;±111
"Block Group 1; Census Tract 1133.23; Los Angeles County; California!!Estimate";2.266;863;69;0;308;41;472;513;349;164
"Block Group 1; Census Tract 1133.23; Los Angeles County; California!!Margin of Error";±509;±332;±80;±13;±179;±66;±330;±265;±242;±108
"Block Group 2; Census Tract 1133.23; Los Angeles County; California!!Estimate";1.353;618;55;0;173;18;360;129;129;0
"Block Group 2; Census Tract 1133.23; Los Angeles County; California!!Margin of Error";±354;±300;±88;±13;±129;±30;±317;±128;±128;±13
"Block Group 1; Census Tract 1133.24; Los Angeles County; California!!Estimate";2.771;1.270;178;0;324;0;129;870;816;54
"Block Group 1; Census Tract 1133.24; Los Angeles County; California!!Margin of Error";±1,569;±458;±133;±13;±144;±13;±155;±1,229;±1,225;±98
"Block Group 1; Census Tract 1134.23; Los Angeles County; California!!Estimate";1.461;643;0;0;73;0;336;409;384;25
"Block Group 1; Census Tract 1134.23; Los Angeles County; California!!Margin of Error";±730;±292;±13;±13;±77;±13;±205;±506;±503;±31
"Block Group 2; Census Tract 1134.23; Los Angeles County; California!!Estimate";1.616;379;68;24;197;0;828;120;45;75
"Block Group 2; Census Tract 1134.23; Los Angeles County; California!!Margin of Error";±442;±185;±76;±40;±108;±13;±379;±104;±63;±79
"Block Group 1; Census Tract 1134.24; Los Angeles County; California!!Estimate";2.298;682;48;0;365;0;1.023;180;38;142
"Block Group 1; Census Tract 1134.24; Los Angeles County; California!!Margin of Error";±682;±230;±54;±13;±161;±13;±622;±103;±38;±93
"Block Group 2; Census Tract 1134.24; Los Angeles County; California!!Estimate";1.048;360;41;0;279;0;171;197;122;75
"Block Group 2; Census Tract 1134.24; Los Angeles County; California!!Margin of Error";±304;±231;±65;±13;±232;±13;±109;±183;±156;±80
"Block Group 1; Census Tract 1134.25; Los Angeles County; California!!Estimate";1.241;243;184;0;98;0;311;405;386;19
"Block Group 1; Census Tract 1134.25; Los Angeles County; California!!Margin of Error";±463;±164;±147;±13;±102;±13;±218;±327;±325;±30
"Block Group 2; Census Tract 1134.25; Los Angeles County; California!!Estimate";3.258;961;120;0;178;0;1.668;331;199;132
"Block Group 2; Census Tract 1134.25; Los Angeles County; California!!Margin of Error";±760;±403;±139;±13;±173;±13;±567;±170;±163;±85
"Block Group 1; Census Tract 1134.26; Los Angeles County; California!!Estimate";2.322;731;15;0;414;0;734;428;325;103
"Block Group 1; Census Tract 1134.26; Los Angeles County; California!!Margin of Error";±350;±300;±17;±13;±124;±13;±217;±235;±214;±70
"Block Group 1; Census Tract 1134.27; Los Angeles County; California!!Estimate";1.397;320;221;0;219;0;615;22;0;22
"Block Group 1; Census Tract 1134.27; Los Angeles County; California!!Margin of Error";±370;±172;±182;±13;±105;±13;±306;±37;±13;±37
"Block Group 2; Census Tract 1134.27; Los Angeles County; California!!Estimate";963;323;104;4;108;0;258;166;80;86
"Block Group 2; Census Tract 1134.27; Los Angeles County; California!!Margin of Error";±374;±185;±120;±16;±109;±13;±258;±176;±117;±104
"Block Group 1; Census Tract 1134.28; Los Angeles County; California!!Estimate";1.133;550;12;0;294;0;98;179;124;55
"Block Group 1; Census Tract 1134.28; Los Angeles County; California!!Margin of Error";±484;±348;±28;±13;±174;±13;±112;±161;±159;±30
"Block Group 2; Census Tract 1134.28; Los Angeles County; California!!Estimate";1.269;650;0;0;117;0;495;7;0;7
"Block Group 2; Census Tract 1134.28; Los Angeles County; California!!Margin of Error";±323;±299;±13;±13;±89;±13;±340;±21;±13;±21
"Block Group 3; Census Tract 1134.28; Los Angeles County; California!!Estimate";1.820;1.284;0;0;117;0;177;242;152;90
"Block Group 3; Census Tract 1134.28; Los Angeles County; California!!Margin of Error";±1,448;±1,402;±13;±13;±124;±13;±266;±255;±225;±104
"Block Group 1; Census Tract 1151.01; Los Angeles County; California!!Estimate";1.320;635;7;0;284;0;253;141;68;73
"Block Group 1; Census Tract 1151.01; Los Angeles County; California!!Margin of Error";±307;±204;±19;±13;±104;±13;±246;±85;±79;±77
"Block Group 2; Census Tract 1151.01; Los Angeles County; California!!Estimate";1.956;1.151;22;9;292;0;127;355;132;223
"Block Group 2; Census Tract 1151.01; Los Angeles County; California!!Margin of Error";±362;±274;±33;±16;±191;±13;±123;±216;±120;±186
"Block Group 3; Census Tract 1151.01; Los Angeles County; California!!Estimate";1.402;874;0;0;147;0;270;111;111;0
"Block Group 3; Census Tract 1151.01; Los Angeles County; California!!Margin of Error";±497;±352;±13;±13;±125;±13;±257;±107;±107;±13
"Block Group 1; Census Tract 1151.03; Los Angeles County; California!!Estimate";2.725;1.322;228;5;580;3;310;277;115;162
"Block Group 1; Census Tract 1151.03; Los Angeles County; California!!Margin of Error";±67;±194;±95;±10;±154;±6;±165;±117;±72;±99
"Block Group 1; Census Tract 1151.04; Los Angeles County; California!!Estimate";715;471;0;15;53;0;172;4;4;0
"Block Group 1; Census Tract 1151.04; Los Angeles County; California!!Margin of Error";±171;±144;±13;±29;±71;±13;±135;±8;±8;±13
"Block Group 2; Census Tract 1151.04; Los Angeles County; California!!Estimate";960;338;154;71;215;0;161;21;21;0
"Block Group 2; Census Tract 1151.04; Los Angeles County; California!!Margin of Error";±355;±244;±204;±95;±177;±13;±116;±31;±31;±13
"Block Group 3; Census Tract 1151.04; Los Angeles County; California!!Estimate";982;444;113;0;237;0;80;108;64;44
"Block Group 3; Census Tract 1151.04; Los Angeles County; California!!Margin of Error";±395;±261;±97;±13;±185;±13;±97;±90;±100;±57
"Block Group 4; Census Tract 1151.04; Los Angeles County; California!!Estimate";1.670;296;503;0;562;0;99;210;172;38
"Block Group 4; Census Tract 1151.04; Los Angeles County; California!!Margin of Error";±498;±122;±387;±13;±264;±13;±94;±222;±214;±40
"Block Group 1; Census Tract 1152.02; Los Angeles County; California!!Estimate";1.957;866;186;1;228;0;278;398;323;75
"Block Group 1; Census Tract 1152.02; Los Angeles County; California!!Margin of Error";±546;±315;±175;±10;±164;±13;±197;±292;±286;±74
"Block Group 2; Census Tract 1152.02; Los Angeles County; California!!Estimate";2.704;773;19;0;510;0;1.327;75;11;64
"Block Group 2; Census Tract 1152.02; Los Angeles County; California!!Margin of Error";±934;±324;±28;±13;±312;±13;±879;±55;±19;±50
"Block Group 3; Census Tract 1152.02; Los Angeles County; California!!Estimate";1.349;460;69;15;207;60;258;280;230;50
"Block Group 3; Census Tract 1152.02; Los Angeles County; California!!Margin of Error";±387;±190;±52;±24;±173;±95;±181;±229;±228;±52
"Block Group 1; Census Tract 1152.03; Los Angeles County; California!!Estimate";1.811;656;43;21;240;0;546;305;305;0
"Block Group 1; Census Tract 1152.03; Los Angeles County; California!!Margin of Error";±475;±226;±50;±36;±147;±13;±426;±197;±197;±13
"Block Group 2; Census Tract 1152.03; Los Angeles County; California!!Estimate";425;190;36;0;63;0;136;0;0;0
"Block Group 2; Census Tract 1152.03; Los Angeles County; California!!Margin of Error";±211;±156;±59;±13;±76;±13;±208;±13;±13;±13
"Block Group 1; Census Tract 1152.04; Los Angeles County; California!!Estimate";1.770;588;230;0;175;0;573;204;116;88
"Block Group 1; Census Tract 1152.04; Los Angeles County; California!!Margin of Error";±409;±204;±275;±13;±150;±13;±258;±164;±141;±88
"Block Group 2; Census Tract 1152.04; Los Angeles County; California!!Estimate";2.036;922;353;0;451;0;148;162;42;120
"Block Group 2; Census Tract 1152.04; Los Angeles County; California!!Margin of Error";±627;±340;±461;±13;±179;±13;±135;±139;±67;±125
"Block Group 1; Census Tract 1153.01; Los Angeles County; California!!Estimate";1.412;784;31;0;334;0;83;180;112;68
"Block Group 1; Census Tract 1153.01; Los Angeles County; California!!Margin of Error";±359;±289;±46;±13;±180;±13;±91;±122;±112;±69
"Block Group 2; Census Tract 1153.01; Los Angeles County; California!!Estimate";1.205;145;42;0;720;0;186;112;0;112
"Block Group 2; Census Tract 1153.01; Los Angeles County; California!!Margin of Error";±597;±76;±43;±13;±597;±13;±136;±158;±13;±158
"Block Group 3; Census Tract 1153.01; Los Angeles County; California!!Estimate";1.018;532;0;0;169;0;181;136;129;7
"Block Group 3; Census Tract 1153.01; Los Angeles County; California!!Margin of Error";±196;±198;±13;±13;±99;±13;±150;±115;±114;±12
"Block Group 4; Census Tract 1153.01; Los Angeles County; California!!Estimate";876;476;41;0;124;0;175;60;0;60
"Block Group 4; Census Tract 1153.01; Los Angeles County; California!!Margin of Error";±301;±189;±57;±13;±130;±13;±185;±100;±13;±100
"Block Group 1; Census Tract 1153.02; Los Angeles County; California!!Estimate";1.077;140;61;90;32;0;647;107;80;27
"Block Group 1; Census Tract 1153.02; Los Angeles County; California!!Margin of Error";±272;±132;±58;±82;±34;±13;±252;±109;±107;±40
"Block Group 2; Census Tract 1153.02; Los Angeles County; California!!Estimate";1.414;113;70;0;53;0;1.019;159;145;14
"Block Group 2; Census Tract 1153.02; Los Angeles County; California!!Margin of Error";±385;±80;±54;±13;±52;±13;±387;±101;±101;±21
"Block Group 3; Census Tract 1153.02; Los Angeles County; California!!Estimate";1.421;450;39;132;289;0;485;26;7;19
"Block Group 3; Census Tract 1153.02; Los Angeles County; California!!Margin of Error";±321;±144;±30;±195;±88;±13;±270;±28;±11;±25
"Block Group 1; Census Tract 1154.01; Los Angeles County; California!!Estimate";1.629;559;134;0;288;0;554;94;69;25
"Block Group 1; Census Tract 1154.01; Los Angeles County; California!!Margin of Error";±363;±240;±129;±13;±181;±13;±311;±93;±89;±33
"Block Group 2; Census Tract 1154.01; Los Angeles County; California!!Estimate";1.150;286;46;0;0;0;788;30;30;0
"Block Group 2; Census Tract 1154.01; Los Angeles County; California!!Margin of Error";±395;±226;±59;±13;±13;±13;±409;±48;±48;±13
"Block Group 3; Census Tract 1154.01; Los Angeles County; California!!Estimate";1.755;915;37;0;593;0;111;99;71;28
"Block Group 3; Census Tract 1154.01; Los Angeles County; California!!Margin of Error";±515;±332;±54;±13;±426;±13;±82;±87;±80;±32
"Block Group 4; Census Tract 1154.01; Los Angeles County; California!!Estimate";1.313;594;59;0;162;0;345;153;108;45
"Block Group 4; Census Tract 1154.01; Los Angeles County; California!!Margin of Error";±494;±318;±80;±13;±139;±13;±252;±110;±114;±51
"Block Group 1; Census Tract 1154.03; Los Angeles County; California!!Estimate";1.491;315;96;0;108;0;814;158;96;62
"Block Group 1; Census Tract 1154.03; Los Angeles County; California!!Margin of Error";±356;±137;±147;±13;±87;±13;±318;±150;±108;±109
"Block Group 2; Census Tract 1154.03; Los Angeles County; California!!Estimate";1.986;296;86;0;345;0;1.066;193;57;136
