id,observed_on,latitude,longitude,place_town_name,place_county_name,scientific_name,common_name
657669,2014-05-04,34.18092,-118.096482,,Los Angeles,Quercus agrifolia,coast live oak
660039,2014-05-04,34.180784,-118.096763,,Los Angeles,Quercus agrifolia,coast live oak
660199,2014-04-29,34.034915,-118.044959,,Los Angeles,Quercus agrifolia,coast live oak
660279,2014-02-23,34.16224,-118.085,,Los Angeles,Quercus agrifolia,coast live oak
660697,2014-05-01,34.16224,-118.085,,Los Angeles,Quercus agrifolia,coast live oak
660711,2014-05-03,34.16224,-118.085,,Los Angeles,Quercus agrifolia,coast live oak
660721,2014-05-03,34.16224,-118.085,,Los Angeles,Quercus agrifolia,coast live oak
660743,2014-05-01,34.16224,-118.085,,Los Angeles,Quercus agrifolia,coast live oak
660823,2014-04-29,34.16224,-118.085,,Los Angeles,Quercus agrifolia,coast live oak
704669,2014-05-28,34.1815611111,-118.0963527778,,Los Angeles,Quercus agrifolia,coast live oak
714331,2014-06-02,34.16224,-118.085,,Los Angeles,Quercus agrifolia,coast live oak
719917,2014-06-02,34.16224,-118.085,,Los Angeles,Quercus agrifolia,coast live oak
720018,2014-06-04,34.16224,-118.085,,Los Angeles,Quercus chrysolepis,canyon live oak
723291,2014-06-07,34.34503,-117.910931,,Los Angeles,Quercus kelloggii,California black oak
726729,2014-06-04,34.16224,-118.085,,Los Angeles,Quercus chrysolepis,canyon live oak
737252,2014-06-03,34.18792,-118.102162,,Los Angeles,Quercus agrifolia,coast live oak
740313,2014-06-16,34.1979333333,-118.0253,,Los Angeles,Quercus berberidifolia,California scrub oak
747061,2014-05-29,34.193952,-118.1,,Los Angeles,Quercus chrysolepis,canyon live oak
748132,2014-06-04,34.16224,-118.085,,Los Angeles,Quercus agrifolia,coast live oak
748496,2014-06-16,34.195283,-118.023956,,Los Angeles,Quercus agrifolia,coast live oak
748526,2014-05-19,34.16224,-118.085,,Los Angeles,Quercus agrifolia,coast live oak
748588,2014-06-09,34.16224,-118.085,,Los Angeles,Quercus chrysolepis,canyon live oak
749031,2014-05-28,34.16224,-118.085,,Los Angeles,Quercus chrysolepis,canyon live oak
750048,2014-05-27,34.197134,-118.101353,,Los Angeles,Quercus chrysolepis,canyon live oak
750092,2014-05-27,34.194587,-118.102391,,Los Angeles,Quercus agrifolia,coast live oak
751613,2014-06-23,34.181551,-118.096174,,Los Angeles,Quercus agrifolia,coast live oak
814098,2013-04-06,33.38856,-118.395581,,Los Angeles,Quercus pacifica,island scrub oak
880021,2014-09-16,34.147785,-118.144516,,Los Angeles,Quercus agrifolia,coast live oak
884384,2014-09-02,34.177072,-118.097116,,Los Angeles,Quercus agrifolia,coast live oak
892195,2007-07-01,34.122605,-118.292713,,Los Angeles,Quercus agrifolia,coast live oak
